Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787943110,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787943111,2,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,3,0,520,347.1415553552409,2.8472080593928695,520.6787920324132,321.0
1787943112,4,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,5,0,520,416.86870821285993,2.8472080593928695,521.6036250349134,372.2
1787943113,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943114,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943115,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943116,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943117,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943118,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
1787943119,5,,Aggregated,0.000000,0.000000,520,520,520,520,520,520,520,520,520,520,520,6,0,520,430.779541512796,2.8472080593928695,521.6036250349134,385.0
